x,y,sd
168.73987047258933,932.99962499007336,25.6
292.09837549205645,970.49094717751029,23.3
249.55380509589199,910.33074829314899,27.0
149.56574287537359,966.31858101942316,21.2
204.43662440652011,924.78550552536751,26.1
229.74834850784458,951.73743723755422,21.6
175.12782504637869,926.00791301351205,28.9
574.66811012730614,1662.2403563338648,27.5
588.54607778741047,1687.8509403495605,26.6
555.06370475437893,1663.5315921659244,26.5
542.11713351427954,1657.7001006650216,24.4
568.90806325239714,1665.258942095252,17.0
467.88757587313575,2164.9456750886939,21.7
572.85784418132926,3020.947084416568,15.0
578.41925487072297,3046.370906142341,19.4
576.58020982188043,3016.2498518230045,17.2
580.91418171144392,3024.2615113053162,14.9
570.83767191165259,3021.5943123523375,12.9
579.70022682693718,3028.6302998717692,14.8
560.74023185523504,3020.7158453313077,18.9
574.26158014277053,3030.9370556552922,12.0
566.26360582825782,3018.8126007453006,12.6
580.8485734070083,3018.4018444589483,11.2
554.25084603777952,3021.0871561340123,11.6
593.3366915259345,2979.3246528269037,23.8
564.90917672137323,3031.3643146439858,20.6
549.23965959477664,3044.195769472622,20.8
556.60610366599235,3003.2696714208219,18.0
563.47968044407696,2996.820334844414,26.2
587.12141156933581,3021.2481581080847,16.3
536.58188564567274,3071.0164845759382,24.2
559.74302587832517,3033.3164635796138,18.3
570.40035029957915,3036.035183164297,24.7
555.16996605726729,2988.404359154717,21.2
585.30450429193115,3058.0350966589504,20.6
546.67389188546736,3060.8926804462681,19.6
554.75538597403079,3004.7239217516308,14.5
577.81972376977023,3024.985617683707,17.9
561.12603283560622,3006.8557891408145,21.4
578.84550759708122,3048.1648706384408,18.2
588.45792920660426,2983.4716611740732,19.3
565.23923076822098,3026.0906949832461,21.5
578.95116514256347,3046.7796499040164,21.2
569.03706608412358,3041.6992326121622,24.5
569.50095302191721,2998.2325234094983,28.2
619.04226670633307,3052.8840397509707,27.7
550.35842206211282,3040.3178356746203,21.5
581.28448625181056,2973.503626454316,30.0
550.238475591427,3023.8131208075229,29.4
555.48854871346168,3026.1554982778093,19.9
583.87078171281564,3031.496738767662,23.5
557.80234833334896,2985.1255539527301,20.4
568.19502575972183,3037.2169376539869,20.8
577.09300110930212,3022.1147512335265,18.9
593.78387450892046,3029.0187171342186,23.0
571.78315600439612,2998.1250545918056,13.8
581.40845777184632,3020.2420970225971,19.9
556.52681019376109,3013.8684313740082,17.7
569.90325670463096,3028.8287348048152,17.9
584.50915454001142,1486.2754625485795,18.8
587.98760218984694,1468.0238762627948,24.1
622.16349122619511,1444.5409333344642,23.4
590.18829792294912,1451.9488354140037,23.3
608.84701795066553,1462.6774032087858,17.5
610.74321870030451,1464.9805364478923,26.1
605.48730925670895,1428.7369795595184,20.4
485.89202412871668,1375.4125219893356,41.1
588.47040685959462,1457.3403890207526,26.3
597.85742570541959,1488.3548030437212,32.4
550.18212490050416,1457.6974108982592,25.2
629.57964465690532,1449.0554286874535,29.0
595.39691303665813,1431.0787532724016,30.7
601.72891942445676,1470.9128554350559,31.6
562.37077934765603,1425.1017562374313,24.0
240.17201881422721,1177.0021417461483,31.8
201.90124581981291,1229.373870134759,25.9
203.54588098496481,1180.5540465466534,25.8
262.40820270583436,1138.0837383110302,33.5
212.48269806078724,1188.8879112295785,21.0
247.13112789103684,1216.7541329020269,29.6
222.32857253271897,1188.3322531665594,27.3
232.77256933832564,1178.7045363694961,28.2
252.30532883278863,1175.8918318824517,15.6
252.0660396488251,1177.2307645493329,26.6
303.52347807716944,1224.8382432726708,21.4
212.58171427484081,1157.4925262854599,24.5
260.17087902362914,1157.2890600407241,20.7
689.8243695776514,1246.3984201256403,22.2
692.18184098300981,1255.1472673967346,44.3
633.64212696768845,1266.2248069703198,20.9
